,postcode,suburb
312,3181,windsor
313,3104,balwyn north
314,3130,blackburn
315,3130,blackburn north
316,3130,blackburn south
317,3128,box hill
318,3129,box hill north
319,3128,box hill south
320,3125,burwood
321,3151,burwood east
322,3131,forest hill
323,3132,mitcham
324,3127,mont albert
325,3129,mont albert north
326,3131,nunawading
327,3127,surrey hills
328,3133,vermont
329,3133,vermont south
330,3083,bundoora
331,3076,epping
332,3075,lalor
333,3082,mill park
334,3752,south morang
335,3074,thomastown
336,3029,hoppers crossing
337,3028,laverton
338,3030,point cook
339,3030,werribee
340,3027,williams landing
341,3067,abbotsford
342,3078,alphington
343,3121,burnley
344,3054,carlton north
345,3066,clifton hill
346,3067,clifton hill
347,3068,clifton hill
348,3066,collingwood
349,3121,cremorne
350,3078,fairfield
351,3065,fitzroy
352,3068,fitzroy north
353,3054,princes hill
354,3121,richmond
355,3160,belgrave
356,3160,belgrave heights
357,3782,emerald
358,3786,ferny creek
359,3791,kallista
360,3766,kalorama
361,3137,kilsyth
362,3140,lilydale
363,3765,montrose
364,3138,mooroolbark
365,3767,mount dandenong
366,3796,mount evelyn
367,3787,sassafras
368,3159,selby
369,3789,sherbrooke
370,3160,tecoma
371,3792,the patch
372,3156,upper ferntree gully
373,3158,upwey
374,3139,wandin north
