lga_name,postcode,suburb,crime_id,crime_name,average_incident
Banyule,3083,bundoora,D20,Disorderly and offensive conduct,4.7
Banyule,3083,bundoora,D30,Public nuisance offences,1.75
Banyule,3083,bundoora,E10,Justice procedures,5.222222222222221
Banyule,3083,bundoora,E20,Breaches of orders,26.8
Banyule,3083,bundoora,F20,Transport regulation offences,1.0
Banyule,3083,bundoora,F30,Other government regulatory offences,1.0
Banyule,3083,bundoora,F90,Miscellaneous offences,4.25
Banyule,3083,bundoora,Other,crimes against the person,9.1
Banyule,3084,eaglemont,A20,Assault and related offences,7.5
Banyule,3084,eaglemont,A50,Robbery,2.5
Banyule,3084,eaglemont,A70,"Stalking, harassment and threatening behaviour",2.6666666666666665
Banyule,3084,eaglemont,A80,Dangerous and negligent acts endangering people,1.75
Banyule,3084,eaglemont,B10,Arson,1.5
Banyule,3084,eaglemont,B20,Property damage,13.9
Banyule,3084,eaglemont,B30,Burglary/Break and enter,28.2
Banyule,3084,eaglemont,B50,Deception,3.2
Banyule,3084,eaglemont,C10,Drug dealing and trafficking,2.0
Banyule,3084,eaglemont,C30,Drug use and possession,2.2222222222222223
Banyule,3084,eaglemont,D10,Weapons and explosives offences,1.2857142857142858
Banyule,3084,eaglemont,D20,Disorderly and offensive conduct,1.1666666666666667
Banyule,3084,eaglemont,D30,Public nuisance offences,1.2
Banyule,3084,eaglemont,E10,Justice procedures,1.5
Banyule,3084,eaglemont,E20,Breaches of orders,4.375
Banyule,3084,eaglemont,F20,Transport regulation offences,1.0
Banyule,3084,eaglemont,F90,Miscellaneous offences,3.0
Banyule,3084,eaglemont,Other,crimes against the person,2.6
Banyule,3084,heidelberg,A50,Robbery,2.875
Banyule,3084,heidelberg,A70,"Stalking, harassment and threatening behaviour",18.6
Banyule,3084,heidelberg,A80,Dangerous and negligent acts endangering people,5.0
Banyule,3084,heidelberg,B10,Arson,2.7
Banyule,3084,heidelberg,C10,Drug dealing and trafficking,4.1
Banyule,3084,heidelberg,C20,Cultivate or manufacture drugs,1.2
Banyule,3084,heidelberg,C30,Drug use and possession,31.6
Banyule,3084,heidelberg,C90,Other drug offences,1.0
Banyule,3084,heidelberg,D10,Weapons and explosives offences,30.6
