suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
ringwood north,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.787064,145.2356,2.0,0.0,9.0
ripponlea,3185,VIC,ST KILDA DC,Delivery Area,-37.876692,144.996194,15.0,0.0,15.0
rosanna,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742893,145.065044,4.0,0.0,10.0
rowville,3178,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.928005,145.235811,3.0,0.0,8.0
roxburgh park,3064,VIC,SOMERTON DC,Delivery Area,-37.636795,144.932604,3.0,0.0,20.0
sandhurst,3977,VIC,CRANBOURNE DC,Delivery Area,-38.080718,145.20951100000005,0.0,0.0,2.0
sandringham,3191,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.952493,145.012316,5.0,1.0,12.0
sassafras,3787,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.876027,145.36695,1.0,0.0,10.0
scoresby,3179,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.864883,145.26426999999995,1.0,0.0,15.0
seabrook,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.877626,144.75777,1.0,0.0,7.0
seaford,3198,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.110191,145.142512,2.0,0.0,6.0
seaholme,3018,VIC,NEWPORT DC,Delivery Area,-37.867992,144.843609,2.0,0.0,13.0
seddon,3011,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.808769,144.895486,11.0,1.0,20.0
selby,3159,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.915182,145.372016,0.0,0.0,20.0
sherbrooke,3789,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.883737,145.364031,1.0,0.0,9.0
skye,3977,VIC,CRANBOURNE DC,Delivery Area,-38.1183,145.203099,2.0,0.0,2.0
south kingsville,3015,VIC,NEWPORT DC,Delivery Area,-37.833627,144.87074199999995,1.0,0.0,10.0
south melbourne,3205,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.93291,145.033718,4.0,1.0,20.0
south morang,3752,VIC,MORANG SOUTH,Delivery Area,-37.653074,145.095043,2.0,0.0,20.0
south yarra,3141,VIC,RICHMOND DC,Delivery Area,-37.83788300000001,144.991123,15.0,0.0,20.0
southbank,3006,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.823258,144.965926,20.0,4.0,20.0
spotswood,3015,VIC,NEWPORT DC,Delivery Area,-37.82967,144.885078,1.0,0.0,17.0
springvale,3171,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.97103,145.148499,2.0,0.0,18.0
springvale south,3172,VIC,BRAESIDE DC,Delivery Area,-37.97103,145.148499,2.0,0.0,18.0
st albans,3021,VIC,ST ALBANS DC,Delivery Area,-37.745063,144.799626,3.0,0.0,14.0
st kilda,3182,VIC,ST KILDA DC,Delivery Area,-37.867573,144.978814,11.0,0.0,20.0
st kilda east,3183,VIC,ST KILDA DC,Delivery Area,-37.866458,145.000047,12.0,1.0,12.0
st kilda west,3182,VIC,ST KILDA DC,Delivery Area,-37.860901,144.972523,8.0,0.0,20.0
strathmore,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.735876,144.919176,1.0,0.0,19.0
strathmore heights,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.716678,144.897568,4.0,0.0,9.0
sunshine north,3020,VIC,SUNSHINE DC,Delivery Area,-37.768904,144.830258,3.0,1.0,3.0
surrey hills,3127,VIC,BOX HILL DC,Delivery Area,-37.825077,145.09741200000005,2.0,0.0,13.0
sydenham,3037,VIC,ST ALBANS DC,Delivery Area,-37.70004,144.764617,1.0,0.0,14.0
taylors hill,3037,VIC,ST ALBANS DC,Delivery Area,-37.710381,144.76679099999996,2.0,0.0,13.0
taylors lakes,3038,VIC,ST ALBANS DC,Delivery Area,-37.69875800000001,144.78766000000005,3.0,0.0,16.0
tecoma,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.906626,145.343987,3.0,1.0,11.0
templestowe,3106,VIC,TEMPLESTOWE DC,Delivery Area,-37.768882,145.117873,1.0,0.0,10.0
templestowe lower,3107,VIC,TEMPLESTOWE DC,Delivery Area,-37.7563,145.102997,0.0,0.0,10.0
the basin,3154,VIC,BAYSWATER DC,Delivery Area,-37.851467,145.30713300000005,2.0,0.0,20.0
the patch,3792,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.887353,145.392574,0.0,0.0,6.0
thomastown,3074,VIC,EPPING DC,Delivery Area,-37.680338,145.01428700000002,5.0,0.0,13.0
thornbury,3071,VIC,PRESTON DC,Delivery Area,-37.75504,144.99858899999995,6.0,0.0,20.0
toorak,3142,VIC,RICHMOND DC,Delivery Area,-37.84216,145.017966,4.0,0.0,4.0
travancore,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.777773,144.929915,3.0,1.0,9.0
tullamarine,3043,VIC,NIDDRIE DC,Delivery Area,-37.68656,144.882698,5.0,0.0,17.0
upper ferntree gully,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.893513,145.310777,0.0,0.0,6.0
upwey,3158,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.903672,145.33131,2.0,0.0,4.0
vermont,3133,VIC,NUNAWADING DC,Delivery Area,-37.836235,145.194651,2.0,0.0,13.0
vermont south,3133,VIC,NUNAWADING DC,Delivery Area,-37.856647,145.183576,1.0,0.0,14.0
viewbank,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.739262,145.096424,0.0,0.0,10.0
wandin north,3139,VIC,WANDIN NORTH,Delivery Area,-37.771838,145.414182,0.0,0.0,4.0
wantirna,3152,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.847915,145.228757,1.0,0.0,19.0
wantirna south,3152,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.868979,145.23521100000005,3.0,1.0,11.0
warrandyte,3113,VIC,MOOROOLBARK DC,Delivery Area,-37.736915,145.22314,2.0,1.0,9.0
warranwood,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.774017,145.2483,0.0,0.0,7.0
waterways,3195,VIC,BRAESIDE DC,Delivery Area,-38.008051,145.11047299999996,1.0,0.0,6.0
watsonia,3087,VIC,BUNDOORA DC,Delivery Area,-37.712531,145.082098,1.0,0.0,15.0
watsonia north,3087,VIC,BUNDOORA DC,Delivery Area,-37.698352,145.084586,0.0,0.0,18.0
werribee,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.903337,144.657731,7.0,0.0,19.0
west footscray,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.797701,144.879924,1.0,0.0,14.0
west melbourne,3003,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.806255,144.941123,8.0,0.0,11.0
westmeadows,3049,VIC,SOMERTON DC,Delivery Area,-37.673551,144.90086000000005,0.0,0.0,13.0
wheelers hill,3150,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909349,145.188659,3.0,0.0,20.0
williamstown,3016,VIC,NEWPORT DC,Delivery Area,-37.85690200000001,144.897698,7.0,0.0,18.0
williamstown north,3016,VIC,NEWPORT DC,Delivery Area,-37.857681,144.88704099999995,6.0,0.0,20.0
windsor,3181,VIC,RICHMOND DC,Delivery Area,-37.85615900000001,144.9922,17.0,0.0,20.0
yallambie,3085,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.727482,145.10230900000005,2.0,0.0,15.0
yarraville,3013,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.816178,144.889774,7.0,0.0,18.0
