suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
bundoora,3083,VIC,BUNDOORA DC,Delivery Area,-37.70132,145.071967,1.0,0.0,18.0
burnley,3121,VIC,RICHMOND DC,Delivery Area,-37.826869,145.00709799999996,11.0,0.0,20.0
burnside,3023,VIC,SUNSHINE DC,Delivery Area,-37.753381,144.75261799999996,2.0,0.0,10.0
burnside heights,3023,VIC,SUNSHINE DC,Delivery Area,-37.771039,144.772248,1.0,0.0,8.0
burwood,3125,VIC,BURWOOD DC,Delivery Area,-37.852805,145.15190900000005,2.0,0.0,16.0
burwood east,3151,VIC,BURWOOD DC,Delivery Area,-37.858352,145.138553,1.0,0.0,15.0
cairnlea,3023,VIC,SUNSHINE DC,Delivery Area,-37.762076,144.754169,2.0,0.0,4.0
camberwell,3124,VIC,DEEPDENE DC,Delivery Area,-37.824818,145.05795700000004,9.0,1.0,17.0
campbellfield,3061,VIC,SOMERTON DC,Delivery Area,-37.643746,144.951369,0.0,0.0,3.0
canterbury,3126,VIC,DEEPDENE DC,Delivery Area,-37.824249,145.073114,1.0,0.0,16.0
carlton,3053,VIC,CARLTON DC,Delivery Area,-37.784337,144.96974699999996,12.0,0.0,20.0
carlton north,3054,VIC,CARLTON DC,Delivery Area,-37.784337,144.96974699999996,12.0,0.0,20.0
carnegie,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889336,145.058121,8.0,0.0,9.0
caroline springs,3023,VIC,SUNSHINE DC,Delivery Area,-37.74124000000001,144.736311,2.0,0.0,20.0
carrum,3197,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.076364,145.123205,2.0,0.0,6.0
carrum downs,3201,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.090783,145.191719,2.0,0.0,17.0
caulfield,3162,VIC,BENTLEIGH EAST DC,Delivery Area,-37.880479,145.026806,5.0,2.0,7.0
caulfield east,3145,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875412,145.041976,3.0,0.0,8.0
caulfield north,3161,VIC,BENTLEIGH EAST DC,Delivery Area,-37.901678,145.02357,1.0,0.0,5.0
caulfield south,3162,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886903,145.02197900000004,6.0,2.0,7.0
chadstone,3148,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.886372,145.082527,5.0,0.0,15.0
chelsea,3196,VIC,BRAESIDE DC,Delivery Area,-38.052346,145.115941,2.0,1.0,9.0
chelsea heights,3196,VIC,BRAESIDE DC,Delivery Area,-38.045473,145.135901,0.0,0.0,20.0
cheltenham,3192,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.96451,145.055873,9.0,1.0,14.0
clarinda,3169,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.941228,145.10244,1.0,0.0,20.0
clayton,3168,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.925488,145.119662,5.0,1.0,9.0
clayton south,3169,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.939215,145.126625,0.0,0.0,8.0
clematis,3782,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.929232,145.423339,2.0,0.0,5.0
clifton hill,3068,VIC,FITZROY DC,Delivery Area,-37.788118,144.992067,12.0,0.0,20.0
coburg,3058,VIC,PRESTON DC,Delivery Area,-37.743188,144.966279,7.0,0.0,17.0
coburg north,3058,VIC,PRESTON DC,Delivery Area,-37.730842,144.971699,2.0,0.0,15.0
collingwood,3066,VIC,FITZROY DC,Delivery Area,-37.800366,144.984149,20.0,2.0,20.0
coolaroo,3048,VIC,SOMERTON DC,Delivery Area,-37.651811,144.930466,1.0,0.0,20.0
craigieburn,3064,VIC,SOMERTON DC,Delivery Area,-37.598975,144.94128700000005,3.0,1.0,20.0
cranbourne,3977,VIC,CRANBOURNE DC,Delivery Area,-38.11122,145.268832,2.0,0.0,20.0
cranbourne north,3977,VIC,CRANBOURNE DC,Delivery Area,-38.082218,145.276538,2.0,0.0,13.0
cremorne,3121,VIC,RICHMOND DC,Delivery Area,-37.829719,144.990346,8.0,0.0,20.0
croydon,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.798729,145.280685,5.0,1.0,12.0
croydon hills,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.774437,145.27557,0.0,0.0,20.0
croydon north,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.770695,145.294691,1.0,0.0,8.0
croydon south,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.811967,145.269481,1.0,0.0,9.0
