lga_id,lga_name
1,banyule
2,northern grampians
3,darebin
4,whittlesea
5,nillumbik
6,bayside
7,glen eira
8,kingston
9,boroondara
10,whitehorse
11,stonnington
12,brimbank
13,hobsons bay
14,moonee valley
15,hume
16,east gippsland
17,melton
18,moreland
19,cardinia
20,yarra ranges
21,casey
22,greater dandenong
23,yarra
24,frankston
25,port phillip
26,wyndham
27,monash
28,knox
29,manningham
30,maroondah
31,maribyrnong
32,melbourne
