,place_id,crime_id,average_incident
7051,2,F90,6.333333333333332
7052,2,Other,10.8
7053,0,A20,18.5
7054,0,A50,2.6666666666666665
7055,0,A70,5.2
7056,0,A80,2.5
7057,0,B10,3.111111111111111
7058,0,B20,25.8
7059,0,B30,46.7
7060,0,B40,142.1
7061,0,B50,17.2
7062,0,C10,4.666666666666667
7063,0,C20,1.5
7064,0,C30,15.9
7065,0,D10,7.6
7066,0,D20,5.2
7067,0,D30,1.125
7068,0,E10,5.0
7069,0,E20,13.7
7070,0,F20,1.0
7071,0,F30,1.2
7072,0,F90,7.75
7073,0,Other,5.6
7074,1,A20,18.5
7075,1,A50,2.6666666666666665
7076,1,A70,5.2
7077,1,A80,2.5
7078,1,B10,3.111111111111111
7079,1,B20,25.8
7080,1,B30,46.7
7081,1,B40,142.1
7082,1,B50,17.2
7083,1,C10,4.666666666666667
7084,1,C20,1.5
7085,1,C30,15.9
7086,1,D10,7.6
7087,1,D20,5.2
7088,1,D30,1.125
7089,1,E10,5.0
7090,1,E20,13.7
7091,1,F20,1.0
7092,1,F30,1.2
7093,1,F90,7.75
7094,1,Other,5.6
7095,2,A20,18.5
7096,2,A50,2.6666666666666665
7097,2,A70,5.2
7098,2,A80,2.5
7099,2,B10,3.111111111111111
7100,2,B20,25.8
7101,2,B30,46.7
7102,2,B40,142.1
7103,2,B50,17.2
7104,2,C10,4.666666666666667
7105,2,C20,1.5
7106,2,C30,15.9
7107,2,D10,7.6
7108,2,D20,5.2
7109,2,D30,1.125
7110,2,E10,5.0
7111,2,E20,13.7
7112,2,F20,1.0
7113,2,F30,1.2
7114,2,F90,7.75
7115,2,Other,5.6
7116,0,A20,5.8
7117,0,A50,1.0
7118,0,A70,1.5
7119,0,A80,1.0
7120,0,B10,1.0
7121,0,B20,7.5
7122,0,B30,3.555555555555556
7123,0,B40,19.3
7124,0,B50,4.888888888888889
7125,0,C10,1.5
7126,0,C20,1.0
7127,0,C30,6.4
7128,0,D10,3.4285714285714284
7129,0,D20,7.5
7130,0,D30,1.75
7131,0,E10,4.0
7132,0,E20,4.0
7133,0,F30,2.0
7134,0,F90,8.0
7135,0,Other,1.8
7136,0,A20,156.6
7137,0,A50,9.0
7138,0,A70,17.2
7139,0,A80,7.3
7140,0,B10,3.0
7141,0,B20,112.7
7142,0,B30,89.0
7143,0,B40,578.3
7144,0,B50,107.8
7145,0,C10,13.0
7146,0,C20,2.0
7147,0,C30,86.9
7148,0,C90,1.0
7149,0,D10,48.4
7150,0,D20,203.8
7151,0,D30,9.7
7152,0,D40,1.6666666666666667
7153,0,E10,31.1
7154,0,E20,56.3
7155,0,F20,4.5
7156,0,F30,2.875
7157,0,F90,66.0
7158,0,Other,28.8
7159,1,A20,5.8
7160,1,A50,1.0
7161,1,A70,1.5
7162,1,A80,1.0
7163,1,B10,1.0
7164,1,B20,7.5
7165,1,B30,3.555555555555556
7166,1,B40,19.3
7167,1,B50,4.888888888888889
7168,1,C10,1.5
7169,1,C20,1.0
7170,1,C30,6.4
7171,1,D10,3.4285714285714284
7172,1,D20,7.5
7173,1,D30,1.75
7174,1,E10,4.0
7175,1,E20,4.0
7176,1,F30,2.0
7177,1,F90,8.0
7178,1,Other,1.8
7179,1,A20,156.6
7180,1,A50,9.0
7181,1,A70,17.2
7182,1,A80,7.3
7183,1,B10,3.0
7184,1,B20,112.7
7185,1,B30,89.0
7186,1,B40,578.3
7187,1,B50,107.8
7188,1,C10,13.0
7189,1,C20,2.0
7190,1,C30,86.9
7191,1,C90,1.0
7192,1,D10,48.4
7193,1,D20,203.8
7194,1,D30,9.7
7195,1,D40,1.6666666666666667
7196,1,E10,31.1
7197,1,E20,56.3
7198,1,F20,4.5
7199,1,F30,2.875
7200,1,F90,66.0
7201,1,Other,28.8
7202,2,A20,5.8
7203,2,A50,1.0
7204,2,A70,1.5
7205,2,A80,1.0
7206,2,B10,1.0
7207,2,B20,7.5
7208,2,B30,3.555555555555556
7209,2,B40,19.3
7210,2,B50,4.888888888888889
7211,2,C10,1.5
7212,2,C20,1.0
7213,2,C30,6.4
7214,2,D10,3.4285714285714284
7215,2,D20,7.5
7216,2,D30,1.75
7217,2,E10,4.0
7218,2,E20,4.0
7219,2,F30,2.0
7220,2,F90,8.0
7221,2,Other,1.8
7222,2,A20,156.6
7223,2,A50,9.0
7224,2,A70,17.2
7225,2,A80,7.3
7226,2,B10,3.0
7227,2,B20,112.7
7228,2,B30,89.0
7229,2,B40,578.3
7230,2,B50,107.8
7231,2,C10,13.0
7232,2,C20,2.0
7233,2,C30,86.9
7234,2,C90,1.0
7235,2,D10,48.4
7236,2,D20,203.8
7237,2,D30,9.7
7238,2,D40,1.6666666666666667
7239,2,E10,31.1
7240,2,E20,56.3
7241,2,F20,4.5
7242,2,F30,2.875
7243,2,F90,66.0
7244,2,Other,28.8
7245,0,A20,1.8
7246,0,A50,1.0
7247,0,A80,1.0
7248,0,B20,1.0
7249,0,B30,2.6666666666666665
7250,0,B40,2.7
7251,0,B50,1.5
7252,0,C30,1.0
7253,0,D20,1.0
7254,0,E10,1.0
7255,0,E20,1.0
7256,0,Other,1.0
7257,0,A20,77.7
7258,0,A50,7.5
7259,0,A70,15.0
7260,0,A80,5.5
7261,0,B10,3.3
7262,0,B20,92.5
7263,0,B30,129.4
7264,0,B40,543.6
7265,0,B50,100.0
7266,0,B60,1.0
7267,0,C10,7.5555555555555545
7268,0,C20,4.7
7269,0,C30,17.2
7270,0,C90,1.0
7271,0,D10,13.1
7272,0,D20,13.5
7273,0,D30,4.111111111111111
7274,0,D40,2.5
7275,0,E10,7.3
7276,0,E20,47.6
7277,0,F10,1.0
7278,0,F20,1.0
7279,0,F30,1.0
7280,0,F90,14.5
7281,0,Other,16.7
7282,1,A20,1.8
7283,1,A50,1.0
7284,1,A80,1.0
7285,1,B20,1.0
7286,1,B30,2.6666666666666665
7287,1,B40,2.7
7288,1,B50,1.5
7289,1,C30,1.0
7290,1,D20,1.0
7291,1,E10,1.0
7292,1,E20,1.0
7293,1,Other,1.0
7294,1,A20,77.7
7295,1,A50,7.5
7296,1,A70,15.0
7297,1,A80,5.5
7298,1,B10,3.3
7299,1,B20,92.5
7300,1,B30,129.4
7301,1,B40,543.6
7302,1,B50,100.0
7303,1,B60,1.0
7304,1,C10,7.5555555555555545
7305,1,C20,4.7
7306,1,C30,17.2
7307,1,C90,1.0
7308,1,D10,13.1
7309,1,D20,13.5
7310,1,D30,4.111111111111111
7311,1,D40,2.5
7312,1,E10,7.3
7313,1,E20,47.6
7314,1,F10,1.0
7315,1,F20,1.0
7316,1,F30,1.0
7317,1,F90,14.5
7318,1,Other,16.7
7319,2,A20,1.8
7320,2,A50,1.0
7321,2,A80,1.0
7322,2,B20,1.0
7323,2,B30,2.6666666666666665
7324,2,B40,2.7
7325,2,B50,1.5
7326,2,C30,1.0
7327,2,D20,1.0
7328,2,E10,1.0
7329,2,E20,1.0
7330,2,Other,1.0
7331,2,A20,77.7
7332,2,A50,7.5
7333,2,A70,15.0
7334,2,A80,5.5
7335,2,B10,3.3
7336,2,B20,92.5
7337,2,B30,129.4
7338,2,B40,543.6
7339,2,B50,100.0
7340,2,B60,1.0
7341,2,C10,7.5555555555555545
7342,2,C20,4.7
7343,2,C30,17.2
7344,2,C90,1.0
7345,2,D10,13.1
7346,2,D20,13.5
7347,2,D30,4.111111111111111
7348,2,D40,2.5
7349,2,E10,7.3
7350,2,E20,47.6
7351,2,F10,1.0
7352,2,F20,1.0
7353,2,F30,1.0
7354,2,F90,14.5
7355,2,Other,16.7
7356,0,A20,73.6
7357,0,A50,3.7777777777777777
7358,0,A70,13.2
7359,0,A80,3.8
7360,0,B10,4.4
7361,0,B20,76.2
7362,0,B30,122.9
7363,0,B40,274.8
7364,0,B50,37.2
7365,0,B60,1.0
7366,0,C10,4.7
7367,0,C20,2.5
7368,0,C30,16.4
7369,0,D10,9.5
7370,0,D20,12.3
7371,0,D30,3.9
7372,0,D40,1.0
7373,0,E10,6.9
7374,0,E20,43.9
7375,0,F10,1.0
7376,0,F30,1.0
7377,0,F90,13.0
7378,0,Other,16.6
7379,1,A20,73.6
7380,1,A50,3.7777777777777777
7381,1,A70,13.2
7382,1,A80,3.8
7383,1,B10,4.4
7384,1,B20,76.2
7385,1,B30,122.9
7386,1,B40,274.8
7387,1,B50,37.2
7388,1,B60,1.0
7389,1,C10,4.7
7390,1,C20,2.5
7391,1,C30,16.4
7392,1,D10,9.5
7393,1,D20,12.3
7394,1,D30,3.9
7395,1,D40,1.0
7396,1,E10,6.9
7397,1,E20,43.9
7398,1,F10,1.0
7399,1,F30,1.0
7400,1,F90,13.0
7401,1,Other,16.6
7402,2,A20,73.6
7403,2,A50,3.7777777777777777
7404,2,A70,13.2
7405,2,A80,3.8
7406,2,B10,4.4
7407,2,B20,76.2
7408,2,B30,122.9
7409,2,B40,274.8
7410,2,B50,37.2
7411,2,B60,1.0
7412,2,C10,4.7
7413,2,C20,2.5
7414,2,C30,16.4
7415,2,D10,9.5
7416,2,D20,12.3
7417,2,D30,3.9
7418,2,D40,1.0
7419,2,E10,6.9
7420,2,E20,43.9
7421,2,F10,1.0
7422,2,F30,1.0
7423,2,F90,13.0
7424,2,Other,16.6
7425,0,A20,22.6
7426,0,A50,1.5
7427,0,A70,5.222222222222221
7428,0,A80,2.888888888888889
7429,0,B10,2.375
7430,0,B20,23.9
7431,0,B30,40.9
7432,0,B40,79.7
7433,0,B50,13.0
7434,0,C10,1.75
7435,0,C20,1.625
7436,0,C30,4.6
7437,0,D10,4.125
7438,0,D20,2.888888888888889
7439,0,D30,2.0
7440,0,E10,2.875
7441,0,E20,12.0
7442,0,F90,2.0
7443,0,Other,5.3
7444,1,A20,22.6
7445,1,A50,1.5
7446,1,A70,5.222222222222221
7447,1,A80,2.888888888888889
7448,1,B10,2.375
7449,1,B20,23.9
7450,1,B30,40.9
7451,1,B40,79.7
7452,1,B50,13.0
7453,1,C10,1.75
7454,1,C20,1.625
7455,1,C30,4.6
7456,1,D10,4.125
7457,1,D20,2.888888888888889
7458,1,D30,2.0
7459,1,E10,2.875
7460,1,E20,12.0
7461,1,F90,2.0
7462,1,Other,5.3
7463,2,A20,22.6
7464,2,A50,1.5
7465,2,A70,5.222222222222221
7466,2,A80,2.888888888888889
7467,2,B10,2.375
7468,2,B20,23.9
7469,2,B30,40.9
7470,2,B40,79.7
7471,2,B50,13.0
7472,2,C10,1.75
7473,2,C20,1.625
7474,2,C30,4.6
7475,2,D10,4.125
7476,2,D20,2.888888888888889
7477,2,D30,2.0
7478,2,E10,2.875
7479,2,E20,12.0
7480,2,F90,2.0
7481,2,Other,5.3
7482,0,A20,125.1
7483,0,A50,7.2
7484,0,A70,20.8
7485,0,A80,10.3
7486,0,B10,10.7
7487,0,B20,85.1
7488,0,B30,74.3
7489,0,B40,235.0
7490,0,B50,33.1
7491,0,C10,10.7
7492,0,C20,3.7
7493,0,C30,35.4
7494,0,D10,27.2
7495,0,D20,13.8
7496,0,D30,3.2222222222222223
7497,0,E10,17.8
7498,0,E20,68.1
7499,0,F20,2.0
7500,0,F30,1.0
7501,0,F90,21.5
7502,0,Other,22.1
7503,1,A20,125.1
7504,1,A50,7.2
